epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.6907,1.21912,1.37164,1.64078,0.62982,0.65848,0.70087,0.46016,1.25678,1.9359,1.62162,0.000252869,0.000252869,0.000252869
2,46.8132,1.20872,1.35658,1.63239,0.63307,0.71254,0.69168,0.47735,1.20084,1.59331,1.52486,0.000506237,0.000506237,0.000506237
3,64.0668,1.22759,1.38698,1.64187,0.55853,0.63929,0.61492,0.40026,1.39195,2.0099,1.63188,0.00075662,0.00075662,0.00075662
4,80.5584,1.24265,1.41842,1.65057,0.68007,0.64897,0.71018,0.47198,1.21717,1.52873,1.53516,0.000755565,0.000755565,0.000755565
5,96.6069,1.23211,1.36718,1.64101,0.5773,0.71436,0.70091,0.48501,1.1709,1.64627,1.50074,0.000751087,0.000751087,0.000751087
6,112.813,1.23971,1.35814,1.6408,0.5388,0.60218,0.61191,0.39329,1.38607,2.09768,1.62758,0.000746609,0.000746609,0.000746609
7,129.074,1.21718,1.35222,1.63296,0.64707,0.67874,0.70068,0.46153,1.2812,1.59145,1.58717,0.00074213,0.00074213,0.00074213
8,145.629,1.23026,1.38182,1.63916,0.6241,0.64155,0.63469,0.40337,1.41175,2.07076,1.6587,0.000737652,0.000737652,0.000737652
9,162.274,1.22728,1.33405,1.63152,0.65575,0.67752,0.73853,0.48264,1.24968,1.67768,1.55087,0.000733174,0.000733174,0.000733174
10,179.116,1.22042,1.31809,1.62217,0.54789,0.70669,0.68314,0.42287,1.445,1.59009,1.60558,0.000728695,0.000728695,0.000728695
11,195.601,1.21005,1.3155,1.60699,0.65967,0.75754,0.74491,0.52206,1.072,1.37418,1.40449,0.000724217,0.000724217,0.000724217
12,212.553,1.19821,1.29932,1.60016,0.61912,0.66883,0.65984,0.43606,1.24441,1.73816,1.5325,0.000719739,0.000719739,0.000719739
13,229.81,1.19008,1.30281,1.58997,0.67729,0.74845,0.75646,0.50264,1.21647,1.5061,1.49056,0.00071526,0.00071526,0.00071526
14,247.046,1.17806,1.27649,1.58064,0.63593,0.67615,0.72879,0.46844,1.3268,1.64644,1.56453,0.000710782,0.000710782,0.000710782
15,263.919,1.1864,1.27016,1.58235,0.62734,0.69782,0.65034,0.40433,1.30565,1.84716,1.56117,0.000706304,0.000706304,0.000706304
16,280.704,1.1831,1.27497,1.58695,0.58256,0.72335,0.69912,0.45647,1.22583,1.84072,1.52721,0.000701826,0.000701826,0.000701826
