epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.5493,0.91445,0.82285,1.27857,0.68907,0.79444,0.83754,0.60169,1.08978,1.4635,1.28132,0.000252869,0.000252869,0.000252869
2,40.7559,0.97186,0.87664,1.30962,0.64646,0.81847,0.82515,0.58438,1.07403,1.37654,1.27786,0.000504162,0.000504162,0.000504162
3,55.6958,1.05285,0.97569,1.37591,0.61039,0.69787,0.73747,0.50761,1.22843,1.72833,1.36693,0.000750378,0.000750378,0.000750378
4,70.3593,1.07425,1.01303,1.38687,0.68972,0.717,0.78298,0.53786,1.17977,1.52612,1.3258,0.000746161,0.000746161,0.000746161
5,85.1431,1.07316,0.98998,1.38773,0.63523,0.75725,0.76375,0.50091,1.2641,1.62631,1.42211,0.000738548,0.000738548,0.000738548
6,100.129,1.0617,1.00203,1.38778,0.64606,0.72277,0.79775,0.56049,1.1199,1.55639,1.29512,0.000730935,0.000730935,0.000730935
7,114.898,1.06275,1.00892,1.39022,0.6515,0.7104,0.74619,0.5053,1.23379,1.71142,1.38367,0.000723321,0.000723321,0.000723321
8,129.608,1.09327,1.04554,1.409,0.64221,0.69749,0.73911,0.51012,1.28273,1.61694,1.38989,0.000715708,0.000715708,0.000715708
9,144.314,1.08538,1.00348,1.39872,0.64242,0.74967,0.73549,0.51737,1.14623,1.49289,1.30549,0.000708095,0.000708095,0.000708095
10,159.121,1.08327,0.99606,1.40169,0.67866,0.73676,0.77929,0.54235,1.10147,1.40942,1.28763,0.000700482,0.000700482,0.000700482
11,174.026,1.08538,0.99743,1.39361,0.66621,0.7197,0.73282,0.51643,1.12872,1.25988,1.28207,0.000692869,0.000692869,0.000692869
12,188.841,1.07896,0.98418,1.38746,0.74071,0.78172,0.82425,0.57211,1.09584,1.33845,1.26457,0.000685256,0.000685256,0.000685256
13,203.823,1.07347,1.00464,1.38927,0.6381,0.78472,0.76489,0.53946,1.12092,1.42059,1.27654,0.000677643,0.000677643,0.000677643
